team_key,match_count,opr,ridge_offense,ridge_defense,defensive_specialist_index_shrunk,rank_ridge_defense_best,rank_defensive_specialist_best,suppression_rating_abs,suppression_rating_pct,avg_absolute_suppression,aggregate_suppression_pct,avg_match_suppression_pct,rank_suppression_abs_best,rank_suppression_pct_best,rank_avg_match_suppression_pct_best,suppression_rating_pct_shrunk,suppression_samples
frc2234,12,12.751448212500335,0.7720058568664937,-19.168429503861415,0.2676086270235912,57.0,38.0,-29.185380155824486,-0.07683029285126715,-125.32344892471524,-1.3630724321203134,-0.5,103.0,33.0,23.0,-0.03136583571236777,5
frc1672,35,20.11835823295959,9.250887327690434,-16.64489944924232,0.25635215256533855,42.0,39.0,-15.314275078979858,-0.08457379891870065,-64.22773858075196,-0.5124698178366133,-0.4821713982221889,34.0,45.0,15.0,-0.07720496240279728,25
frc103,36,126.1697221977042,92.8049776812862,-10.945310163055597,0.24966552931174582,21.0,40.0,-12.89378308365134,-0.10456590728361226,-59.519512382815826,-0.530448021316796,-0.5,23.0,66.0,23.0,-0.09545517694204697,25
frc6226,24,23.141977995315795,5.524626321828973,-12.97962569210617,0.20702671759574368,27.0,41.0,-19.953799424676117,-0.1249322643008929,-82.12684423440085,-0.7869472069145761,-0.5,54.0,105.0,23.0,-0.08534498409140676,14
frc501,12,67.02556022498314,18.7933787576834,-19.42676263980996,0.20133681692548866,60.0,42.0,-25.34103001776055,-0.09747861845109258,-126.26404322612473,-1.2936292008980848,-0.5,81.0,59.0,23.0,-0.04359376344188166,6
frc834,24,39.11396934868527,20.425191950961985,-12.602476325349025,0.18574953113724024,25.0,43.0,-13.082720892697866,-0.11980932804402554,-71.84797832037007,-0.6113246082234836,-0.5,24.0,94.0,23.0,-0.0901891856909936,17
frc222,36,38.67766631426001,22.39001321836949,-15.703133744298325,0.18332338585768795,36.0,44.0,-21.786394848575366,-0.0941808526614809,-67.23190198539677,-0.5869662884799892,-0.5,61.0,52.0,23.0,-0.08065166379291432,22
frc8707,24,17.334485300063406,-1.1110603954982023,-17.08909144950077,0.18206478852989183,43.0,45.0,-22.81542593822931,-0.098182966524074,-91.46336194769528,-0.8409345404095275,-0.5,68.0,60.0,23.0,-0.06942584142618452,15
frc75,35,40.24920915776466,21.576645241366997,-20.81138374013314,0.17180779933334206,67.0,46.0,-21.32664776807563,-0.07419775277044323,-75.34542437672519,-0.6332028046177108,-0.5,57.0,32.0,23.0,-0.05747333216118837,18
frc11225,12,28.666472453106145,7.499494449002743,-19.76782929889557,0.17169683451217457,61.0,47.0,-15.750711988879774,-0.10731425663116473,-90.43225918905058,-0.874480072119455,-0.5,36.0,72.0,23.0,-0.04799239455642838,6
frc752,24,11.646527873632497,-4.4246607140798675,-15.235687728129594,0.16372694537255722,32.0,48.0,-18.193954631956547,-0.11434484076437387,-80.17700047944003,-0.8743200544636185,-0.5,47.0,85.0,23.0,-0.08085401229818474,15
frc5895,36,155.8173243964984,111.99112244393999,-19.26751576283728,0.16176374745577748,59.0,49.0,-16.114002162707777,-0.0740843086916458,-65.9994584550951,-0.623179341346273,-0.5,38.0,31.0,23.0,-0.06626302012023941,24
frc862,12,83.22473927414006,31.64740792286149,-19.067156795381397,0.1535508506960506,53.0,50.0,-16.875608608858517,-0.11386379045758685,-93.45166145845766,-1.153376462331794,-0.5,42.0,83.0,23.0,-0.055001436175668696,7
frc4342,24,25.945701443133284,5.396991305993367,-18.585087328474888,0.15258848692791924,49.0,51.0,-15.566070713017252,-0.08841657157956553,-67.82828326158757,-0.642759366093969,-0.5,35.0,48.0,23.0,-0.06655757713139189,17
frc6016,23,17.385186286254168,-4.406085989967551,-23.925402185085442,0.13896682802017685,83.0,52.0,-31.76168962495195,-0.07058310711794952,-113.65950568891502,-0.9352832053082989,-0.5,110.0,29.0,23.0,-0.0427401938517922,11
frc1626,24,41.634246321046305,16.663164482326497,-24.133993512740545,0.1282466762454858,87.0,53.0,-18.579335883111764,-0.06641273145064067,-80.2424830227222,-0.8287854495282753,-0.5,48.0,25.0,23.0,-0.043718211950152575,13
frc10157,36,29.18517817947952,14.870223510495803,-17.425924864714997,0.09324501950414031,45.0,54.0,-16.679456850475404,-0.09483116791790429,-70.37622139627703,-0.6067995859860046,-0.5,40.0,53.0,23.0,-0.08303369986527488,23
frc1676,36,84.6669564721276,56.01969271318303,-18.963036509266104,0.08637121280347108,52.0,55.0,-25.06147371680654,-0.09374765799487578,-81.82779003565226,-0.5835746062179672,-0.5,78.0,51.0,23.0,-0.07654464222279787,20
frc2095,12,5.731217107983967,-3.7560743339920415,-23.250082207765733,0.08343209181693377,79.0,56.0,-22.780312933249434,-0.09563414122614405,-96.76151370626854,-0.9670667769905635,-0.5,67.0,56.0,23.0,-0.049385258173027205,8
frc4361,23,19.2105327669179,1.475065842682899,-23.45325222231493,0.07318634834640064,80.0,57.0,-19.355378480392652,-0.07725397106577622,-79.56221167964824,-0.8329635897679541,-0.5,50.0,35.0,23.0,-0.05462680681419971,15
frc203,24,14.133196306307886,-7.325628451547122,-20.974024360095516,0.07257897529412258,68.0,58.0,-11.871826788787667,-0.10133325738759254,-78.44568508568274,-0.8842300350909329,-0.5,21.0,63.0,23.0,-0.0667057163183039,13
frc7110,36,4.176888121971331,-8.621720912912423,-13.566889436904376,0.07152461793556404,28.0,59.0,-13.516318083190557,-0.1056695638216168,-58.12044243549199,-0.5120625512824153,-0.5,27.0,69.0,23.0,-0.10389347827290406,29
frc2539,36,120.97968248610017,84.06455836974676,-15.593541448059488,0.06374939106776681,35.0,60.0,-17.581725319633744,-0.11650927893416993,-66.87037918372738,-0.578126934874298,-0.49183118939155657,45.0,88.0,17.0,-0.09977258569879882,22
frc365,36,35.5007314534069,17.092793116465355,-20.325335261257376,0.05806471700820881,64.0,61.0,-24.105870214811702,-0.09543234202928351,-74.30495153890293,-0.647061680775377,-0.4990660716724393,75.0,55.0,21.0,-0.07392157427379703,18
frc8117,36,14.14524871876754,1.893508800413279,-16.538395199819888,0.05143767062402682,41.0,62.0,-16.590335764677963,-0.1060361763460554,-65.9477960629343,-0.5482765952785738,-0.49519786670094473,39.0,70.0,20.0,-0.09484163935357405,24
frc3142,24,36.381424703291344,10.181510643772098,-22.105261512298696,0.04501364087804422,75.0,63.0,-23.457714687450324,-0.10782979001637145,-93.07701012283214,-0.8354836778957483,-0.5,69.0,74.0,23.0,-0.06529418038506503,11
frc7587,36,61.73356721202461,40.130485283197146,-12.018850539672986,0.042539684927392865,23.0,64.0,-20.759180408408806,-0.13092507067388048,-67.4538195652262,-0.4968651635457954,-0.5,55.0,110.0,23.0,-0.11463734194000572,23
frc6945,23,3.4678916849703256,-9.285249133788104,-24.29970602591758,0.042436073610221024,89.0,65.0,-30.38832802078034,-0.08373164631451015,-105.85893760276328,-1.073707172089937,-0.5,108.0,42.0,23.0,-0.05511891742072978,13
frc5732,24,32.98124981163896,4.883065375169551,-20.97439387259531,0.027626697322620027,69.0,66.0,-29.02920928441766,-0.11567118948210513,-106.32901658154718,-0.8679792531542614,-0.5,102.0,87.0,23.0,-0.07315688368487293,12
frc8704,24,-2.6008792373288045,-11.16672919982553,-19.838192699099434,0.01583881256974429,62.0,67.0,-25.134143994327562,-0.13251389952224776,-86.56738762487021,-0.7225328704334273,-0.5,79.0,111.0,23.0,-0.08024115096227456,11
frc5407,24,42.73344812727958,16.31445902511295,-21.697110670503278,0.010821301043977412,72.0,68.0,-23.50634299690136,-0.12494925019736056,-100.24621416254678,-0.9483519540246521,-0.5,70.0,106.0,23.0,-0.07213948323648801,10
frc2720,24,33.64786377397971,4.612562870501572,-22.692913012766276,0.006276951050478654,78.0,69.0,-26.86711083629687,-0.11789379078141939,-108.91725800860385,-1.2802340372560528,-0.5,93.0,90.0,23.0,-0.0680660118434379,10
frc1647,24,46.045575880537854,14.189038058060158,-24.010351186263666,0.005822533249999694,84.0,70.0,-34.83093664180379,-0.1129751352131854,-125.36044919080814,-1.2926226412041824,-0.5,117.0,81.0,23.0,-0.06187902999345785,9
frc484,36,118.58347920573983,82.7708789355651,-17.291252283349586,-0.0015214808973934755,44.0,71.0,-17.711187180633935,-0.1106794953515605,-72.85249730001267,-0.6595251680214551,-0.5,46.0,77.0,23.0,-0.09478025729867204,22
frc8706,36,89.2884105794997,60.62245002678642,-18.644430520143793,-0.020723299393919634,50.0,72.0,-26.580983955549517,-0.10773307417390705,-75.62310515985904,-0.5799828109834311,-0.49337070706406366,88.0,73.0,19.0,-0.09433054493501258,23
frc102,24,46.29569274484861,20.22421033959347,-25.424520252408357,-0.03979345208608287,96.0,73.0,-27.80359221234459,-0.08450804966725585,-95.60142651822339,-0.9443619201285175,-0.5,96.0,44.0,23.0,-0.06171595345803063,16
frc4750,24,26.544626816367767,2.494520533175088,-22.14130851418787,-0.04146679244391098,76.0,74.0,-26.97518264736002,-0.12259742292819227,-98.10735281783583,-1.0283566788606213,-0.5,94.0,101.0,23.0,-0.07753741834400742,12
frc2559,24,46.48065954056966,20.570740427374755,-28.547750124416527,-0.041512450269597975,108.0,75.0,-25.733437816886564,-0.07785029077918228,-101.40219493797353,-0.8304245190304669,-0.5,84.0,36.0,23.0,-0.047140692088836776,11
frc2016,36,33.71401847210146,14.024898162201689,-25.093559518655926,-0.04465822207594404,91.0,76.0,-28.365582818879417,-0.07692446019099092,-82.04927005236304,-0.6846356086626781,-0.5,99.0,34.0,23.0,-0.06280855873565505,20
frc2458,24,21.507829054626832,-1.6623490922822128,-25.91711594829702,-0.0547047142036089,100.0,77.0,-35.55311893623904,-0.1191305338300449,-127.19590761500658,-0.9446409128259023,-0.5,119.0,92.0,23.0,-0.06151874313980842,8
frc1257,24,49.49152897030305,17.23757845566229,-21.4827572175305,-0.06302408386245753,70.0,78.0,-22.628996113495006,-0.11845069321442969,-84.1498986610212,-0.8287918672223584,-0.5,66.0,91.0,23.0,-0.08375728840817061,15
frc2191,24,46.09091005537557,15.955508194224935,-16.13465144781025,-0.11862520014704939,38.0,79.0,-19.880510178216063,-0.1714454707526172,-84.76103235035077,-1.0500343425697116,-0.5,52.0,140.0,23.0,-0.11711955318992232,14
frc5789,36,50.60004005680091,25.733091305290166,-21.617923613706488,-0.12511223620287526,71.0,80.0,-25.870332666380214,-0.111498367567921,-83.13320433082522,-0.9657176709188617,-0.5,86.0,79.0,23.0,-0.08873290134553871,19
frc87,24,41.51109732461046,13.601973890946043,-25.289499366952132,-0.1317523848514955,94.0,81.0,-29.83746373867131,-0.11946685866463362,-110.61093617911956,-1.1161889693621343,-0.5,106.0,93.0,23.0,-0.07555747565713282,12
frc1279,35,42.6118672045852,18.043772847413624,-25.789681588691106,-0.13438648893638303,99.0,82.0,-29.54904393327059,-0.08826754700239073,-87.75245752819846,-0.819902615688492,-0.5,105.0,47.0,23.0,-0.07024529337081735,19
frc10993,36,20.36543194373499,8.049416043392908,-25.241348657237292,-0.13626656870948958,93.0,83.0,-28.051624479957134,-0.10667726215692007,-76.02412141992171,-0.6006243053787809,-0.46702990266236766,98.0,71.0,13.0,-0.09135294955072468,22
frc9100,24,50.090653990233974,19.87209621139601,-29.882124201739867,-0.17889576757535863,112.0,84.0,-26.730263870844762,-0.09996125503745382,-98.15157065680009,-0.9687022434539855,-0.5,90.0,61.0,23.0,-0.06052954584203534,11
frc5490,24,7.509267327624286,-6.58835874794019,-27.02100607158304,-0.18070017533614433,106.0,85.0,-28.04855128872384,-0.10517036842514384,-91.04956647505476,-0.9662765232804853,-0.5,97.0,68.0,23.0,-0.07436668069330678,15
frc219,24,73.52690802911022,42.63957366437412,-27.99475611623112,-0.18356628127244615,107.0,86.0,-28.930848503733994,-0.09606636149787268,-96.44172696500786,-0.9608371998694935,-0.5,101.0,57.0,23.0,-0.07015695094644085,16
frc8130,24,18.514909597253574,4.151141164654119,-24.232640725810402,-0.1859727087049929,88.0,87.0,-25.64809416055654,-0.12098698499130311,-91.3014761164023,-0.8095370858338499,-0.5,83.0,98.0,23.0,-0.08835640112570091,16
frc10949,36,7.849120578686534,-2.992344804235784,-26.655735843306235,-0.18848690939387805,104.0,88.0,-24.525652770753684,-0.08251853925633408,-81.47139947807254,-0.696291086345599,-0.5,77.0,40.0,23.0,-0.07225282333191334,23
frc10989,23,37.75034033282115,9.510449045912571,-25.024600443132925,-0.18953270745129205,90.0,89.0,-25.89583519350197,-0.13549440123891782,-96.81113867904556,-0.9443499100661157,-0.5,87.0,115.0,23.0,-0.08569418362314413,12
frc4573,24,50.40486836225138,18.836423902074202,-28.792646067506123,-0.19918146683896057,110.0,90.0,-31.597214401042198,-0.1133088950483088,-118.77203919378611,-1.3805046453318206,-0.5,109.0,82.0,23.0,-0.06861194324308152,11
frc423,36,26.48110196696255,11.1186986790417,-18.691708349019127,-0.21058811834080787,51.0,91.0,-24.35381222827355,-0.12864216851399113,-75.86933319309765,-0.646985998807466,-0.5,76.0,109.0,23.0,-0.1126384441416559,23
frc5992,24,28.086402148457168,5.425236282429895,-26.132081748692276,-0.21096968108989583,101.0,92.0,-25.469185790338905,-0.12598044706480266,-93.40000480113828,-0.8994560467154432,-0.5,82.0,107.0,23.0,-0.08293048284646165,13
frc555,36,34.442095863574494,21.65334665420225,-23.783619944771335,-0.2375089831560541,82.0,93.0,-23.795386381645116,-0.112222061550493,-79.57793401323286,-0.6503382575525978,-0.5,71.0,80.0,23.0,-0.09162892956063835,20
frc321,36,36.65426321477706,11.938645295475576,-20.735935514626824,-0.2375867703821818,65.0,94.0,-21.385212856653773,-0.12117651220719589,-77.12371073050707,-0.789414083552798,-0.5,59.0,99.0,23.0,-0.10610155254065418,23
frc4652,24,25.21566694446931,2.874331645357964,-25.655779642097755,-0.24601849054096617,98.0,95.0,-37.276014012234434,-0.14899699383699064,-121.06094814874777,-1.0424252375790908,-0.5,125.0,125.0,23.0,-0.09022216023000529,11
frc293,36,47.04294383026826,23.741613957226683,-19.17673495877888,-0.25352897843150635,58.0,96.0,-20.984088079613095,-0.1378931285609533,-77.69892530326537,-0.8202801370793477,-0.5,56.0,117.0,23.0,-0.11536966860067387,21
frc11104,24,25.639286028294435,6.510610607697664,-30.14002372886576,-0.2587851435553352,113.0,97.0,-33.88967851033299,-0.10360220685579309,-108.23689227249255,-1.108071309491867,-0.5,116.0,65.0,23.0,-0.07077378085973825,14
frc433,36,32.180002392071074,15.215077918138205,-20.80764476399348,-0.27639109684773916,66.0,98.0,-21.922695869391937,-0.12083793201002203,-73.19190242459815,-0.6642874411031969,-0.5,63.0,97.0,23.0,-0.11030943527360774,25
frc714,24,30.778864427667273,10.203496389588407,-28.68697119241996,-0.2779553473552956,109.0,99.0,-35.96417169179987,-0.1177249871398798,-110.50842357141417,-0.9988359457937704,-0.5,120.0,89.0,23.0,-0.08042147647637167,14
frc11366,24,11.956685448169157,-2.045305358154796,-25.41090776653209,-0.2913561934131431,95.0,100.0,-26.861889176729115,-0.13404483492111838,-87.13774024020235,-0.9275536245229837,-0.5,92.0,113.0,23.0,-0.09789250640447034,16
frc9116,24,15.195335068894579,0.430039478177244,-32.386228353232305,-0.29357016003215614,119.0,101.0,-33.02649968732961,-0.09530731722842795,-102.59867185454333,-0.9128428974734202,-0.5,111.0,54.0,23.0,-0.06510729248502627,14
