team_key,match_count,opr,ridge_offense,ridge_defense,suppression_rating_abs,suppression_rating_pct,suppression_samples,expected_score_against_total,actual_score_against_total,avg_expected_score_against,avg_actual_score_against,avg_absolute_suppression,aggregate_suppression_pct,avg_match_suppression_pct,avg_opponent_offense_seen,sample_reliability,suppression_reliability,suppression_rating_pct_shrunk,defensive_specialist_index,defensive_specialist_index_shrunk,rank_ridge_defense_best,rank_suppression_abs_best,rank_suppression_pct_best,rank_avg_match_suppression_pct_best,rank_defensive_specialist_best
frc1403,36,109.22222709081234,72.12303686468948,-16.487631915679078,-13.910910637989272,-0.08104353576468017,19,2012.6330902277884,3101.6825491497125,105.92805738040992,163.24644995524804,-57.31839257483811,-0.5411068039225502,-0.5,69.70479466029875,0.8660254037844386,0.7958224257542215,-0.06449626322394678,0.33416345221208305,0.28939403863197116,40.0,28.0,38.0,23.0,36.0
frc190,12,241.5436897042954,120.31386419688333,-14.72618354579076,-15.023060470478992,-0.10873793746570738,6,534.0503488696805,1035.9917667555399,89.00839147828009,172.66529445925664,-83.65690298097657,-0.9398765845733837,-0.5,59.84044994968889,0.5,0.4472135954999579,-0.04862908398128858,0.5728356845730199,0.28641784228650996,30.0,33.0,75.0,23.0,37.0
frc2234,12,12.751448212500335,0.7720058568664937,-19.168429503861415,-29.185380155824486,-0.07683029285126715,5,459.70942545499815,1086.3266700785744,91.94188509099963,217.26533401571487,-125.32344892471524,-1.3630724321203134,-0.5,60.24312014084435,0.5,0.408248290463863,-0.03136583571236777,0.5352172540471823,0.2676086270235912,57.0,103.0,33.0,23.0,38.0
frc1672,35,20.11835823295959,9.250887327690434,-16.64489944924232,-15.314275078979858,-0.08457379891870065,25,3133.244941716216,4738.938406235015,125.32979766864864,189.55753624940058,-64.22773858075196,-0.5124698178366133,-0.4821713982221889,97.11914714704203,0.8539125638299665,0.9128709291752769,-0.07720496240279728,0.30020890126683286,0.25635215256533855,42.0,34.0,45.0,15.0,39.0
frc103,36,126.1697221977042,92.8049776812862,-10.945310163055597,-12.89378308365134,-0.10456590728361226,25,2805.15290805795,4293.140717628346,112.206116322318,171.72562870513383,-59.519512382815826,-0.530448021316796,-0.5,86.61835332937619,0.8660254037844386,0.9128709291752769,-0.09545517694204697,0.28828892111101373,0.24966552931174582,21.0,23.0,66.0,23.0,40.0
frc6226,24,23.141977995315795,5.524626321828973,-12.97962569210617,-19.953799424676117,-0.1249322643008929,14,1461.0583901677423,2610.8342094493537,104.36131358341017,186.488157817811,-82.12684423440085,-0.7869472069145761,-0.5,75.15105979140556,0.7071067811865476,0.6831300510639732,-0.08534498409140676,0.2927799917974854,0.20702671759574368,27.0,54.0,105.0,23.0,41.0
frc501,12,67.02556022498314,18.7933787576834,-19.42676263980996,-25.34103001776055,-0.09747861845109258,6,585.6270551335774,1343.2113144903258,97.60450918892957,223.8685524150543,-126.26404322612473,-1.2936292008980848,-0.5,64.31056112479746,0.5,0.4472135954999579,-0.04359376344188166,0.4026736338509773,0.20133681692548866,60.0,81.0,59.0,23.0,42.0
frc834,24,39.11396934868527,20.425191950961985,-12.602476325349025,-13.082720892697866,-0.11980932804402554,17,1997.982111329919,3219.39774277621,117.52835948999524,189.3763378103653,-71.84797832037007,-0.6113246082234836,-0.5,93.55749008013044,0.7071067811865476,0.752772652709081,-0.0901891856909936,0.26268950613872866,0.18574953113724024,25.0,24.0,94.0,23.0,43.0
frc222,36,38.67766631426001,22.39001321836949,-15.703133744298325,-21.786394848575366,-0.0941808526614809,22,2519.909358864575,3999.011202543304,114.54133449384432,181.7732364792411,-67.23190198539677,-0.5869662884799892,-0.5,76.23113667395427,0.8660254037844386,0.8563488385776752,-0.08065166379291432,0.21168361234737956,0.18332338585768795,36.0,61.0,52.0,23.0,44.0
frc8707,24,17.334485300063406,-1.1110603954982023,-17.08909144950077,-22.81542593822931,-0.098182966524074,15,1631.4592436021258,3003.4096728175546,108.76394957347505,200.2273115211703,-91.46336194769528,-0.8409345404095275,-0.5,76.19224874595288,0.7071067811865476,0.7071067811865476,-0.06942584142618452,0.2574784931695625,0.18206478852989183,43.0,68.0,60.0,23.0,45.0
frc75,35,40.24920915776466,21.576645241366997,-20.81138374013314,-21.32664776807563,-0.07419775277044323,18,2141.8377001659915,3498.0553389470456,118.99098334255508,194.33640771928032,-75.34542437672519,-0.6332028046177108,-0.5,75.26886084419075,0.8539125638299665,0.7745966692414834,-0.05747333216118837,0.20120069268304255,0.17180779933334206,67.0,57.0,32.0,23.0,46.0
frc11225,12,28.666472453106145,7.499494449002743,-19.76782929889557,-15.750711988879774,-0.10731425663116473,6,620.475608802878,1163.0691639371814,103.41260146714633,193.84486065619691,-90.43225918905058,-0.874480072119455,-0.5,62.2238451334832,0.5,0.4472135954999579,-0.04799239455642838,0.34339366902434915,0.17169683451217457,61.0,36.0,72.0,23.0,47.0
frc752,24,11.646527873632497,-4.4246607140798675,-15.235687728129594,-18.193954631956547,-0.11434484076437387,15,1375.5317644285424,2578.1867716201427,91.7021176285695,171.87911810800952,-80.17700047944003,-0.8743200544636185,-0.5,69.86729296458431,0.7071067811865476,0.7071067811865476,-0.08085401229818474,0.23154486667178928,0.16372694537255722,32.0,47.0,85.0,23.0,48.0
